Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
889921b80680c7fa2156d69ef68c18a530078a8eb5d97d46bce1926c3c0fe082,2023-07,Lincolnshire Police,Lincolnshire Police,-0.028054,52.977770,On or near Lincoln Lane,E01034681,Boston 003E,Unable to prosecute suspect
3dd0ac94e59a643efd0fb97eec9f32074a5e7210d718d78dc0820feba3e5e388,2023-07,Lincolnshire Police,Lincolnshire Police,0.310536,53.282498,On or near Parking Area,E01026044,East Lindsey 008C,Unable to prosecute suspect
978e775a99eae9d1f3e5eb52a624e30df1cd77a734cfacf64fbc1da421b807d1,2023-07,Lincolnshire Police,Lincolnshire Police,-0.048274,53.467445,On or near Station Road,E01026080,East Lindsey 001E,Action to be taken by another organisation
832485b45efb45cd74dd0d1462fa7c4ff03176dd237f12978bf9936a0e11f9ea,2023-07,Lincolnshire Police,Lincolnshire Police,-0.585267,53.179239,On or near Meadow Lane,E01026220,North Kesteven 013A,Investigation complete; no suspect identified
0efd17ad7ebd6b4da4f526335b286c1acfd21cb18ea463d64ab621722a64d67f,2023-07,Lincolnshire Police,Lincolnshire Police,-0.044723,52.986964,On or near Hollydene Close,E01026010,Boston 002A,Suspect charged
555cfccc9899c95cba76d1b59d44cd45fb9d59f80196690d27681cabaa0c51cb,2023-07,Lincolnshire Police,Lincolnshire Police,-0.616011,53.216170,On or near Ivywood Close,E01034689,Lincoln 007E,Unable to prosecute suspect
9e393a4e81095287a9a2795199e1ea32922366db8dc6006a020c7b01894ec081,2023-07,Lincolnshire Police,Lincolnshire Police,-0.643595,52.916957,On or near Chambers Street,E01026353,South Kesteven 003F,Unable to prosecute suspect
97fe6833ca24f3d0baa3f58e33b4c31558dc16e7d693f18cc20a3c26133fd21f,2023-07,Lincolnshire Police,Lincolnshire Police,-0.610374,52.925150,On or near Coxmoor Close,E01026293,South Kesteven 007B,Unable to prosecute suspect
1e29eebb41b0ee1108eeefeace1346b728df1819f9755484e71ac73d19e94c9f,2023-07,Lincolnshire Police,Lincolnshire Police,-0.557768,53.191144,On or near Sidlaw Grove,E01026138,Lincoln 011B,Unable to prosecute suspect
a8e40d10892fe96fdefb02adbae1b8a7dd2bced99573a3afaaf3ca3d81e84f8c,2023-07,Lincolnshire Police,Lincolnshire Police,0.341287,53.188815,On or near Skegness Road,E01026069,East Lindsey 010D,Investigation complete; no suspect identified
5549390e8d889bf0b9dca97be37fdff06ed7ef523ab62c99cf386f4dfbee06ad,2023-07,Lincolnshire Police,Lincolnshire Police,-0.509933,53.239001,On or near Proctors Road,E01026123,Lincoln 004B,Unable to prosecute suspect
5549390e8d889bf0b9dca97be37fdff06ed7ef523ab62c99cf386f4dfbee06ad,2023-07,Lincolnshire Police,Lincolnshire Police,-0.509933,53.239001,On or near Proctors Road,E01026123,Lincoln 004B,Unable to prosecute suspect
e748f0e2a247f378c8e375204023ab5877630fe781ecf6b430493b260b2343de,2023-07,Lincolnshire Police,Lincolnshire Police,-0.525263,53.195141,On or near Sports/Recreation Area,E01026187,North Kesteven 001B,Investigation complete; no suspect identified
e748f0e2a247f378c8e375204023ab5877630fe781ecf6b430493b260b2343de,2023-07,Lincolnshire Police,Lincolnshire Police,-0.525263,53.195141,On or near Sports/Recreation Area,E01026187,North Kesteven 001B,Investigation complete; no suspect identified
7d20cac8d978283b1963fb4595f7a1334498bc39b1f1292c8871e3713f53774b,2023-07,Lincolnshire Police,Lincolnshire Police,0.343471,53.142416,On or near Theme/Adventure Park,E01026093,East Lindsey 014B,Unable to prosecute suspect
ddc4e60da91f17476a95a785af429b608118f12fc3e3e7587ba8cee2b30f8e8f,2023-07,Lincolnshire Police,Lincolnshire Police,-0.534091,53.247247,On or near Bassingham Crescent,E01026166,Lincoln 001C,Unable to prosecute suspect
fd5b25cda31045d6687f98628b21e77c7aab793c12de934adc78be6f1ead2b7c,2023-07,Lincolnshire Police,Lincolnshire Police,-0.410320,52.995813,On or near Station Road,E01026227,North Kesteven 010A,Investigation complete; no suspect identified
7ef2ba429b9f009d60da10beb389ebfb84c22df40299601d113d3f572077095e,2023-07,Lincolnshire Police,Lincolnshire Police,-0.198373,53.094936,On or near Park/Open Space,E01026054,East Lindsey 016D,Investigation complete; no suspect identified
fca7e683faa82eff6d06428a2340453cb7a9dece2d577445e5b3e45ec96d0d28,2023-07,Lincolnshire Police,Lincolnshire Police,0.318904,53.240321,On or near Stone's Lane,E01026049,East Lindsey 010B,Unable to prosecute suspect
86d06a17acc3f2e8cc49c54387c1a6ab2336f6516e767eb8692be93e77a3f155,2023-07,Lincolnshire Police,Lincolnshire Police,0.155001,53.441853,On or near Park/Open Space,E01026079,East Lindsey 002C,Investigation complete; no suspect identified
a16008c4dffafcc45184398e2692feab9d4ed511757b62df12cb2c6e68573498,2023-07,Lincolnshire Police,Lincolnshire Police,-0.058063,52.970883,On or near Shopping Area,E01034683,Boston 009E,Investigation complete; no suspect identified
